candidate_id,case_id,diagnostics_profile_attached,entered_R_fuze,fuze_triggered,grid_tier,guidance_runtime_missing_acceleration_diagnostics_count,guidance_runtime_observation_count,guidance_saturation_fraction,max_achieved_lateral_g,max_capture_component_g,max_postclamp_command_g,max_preclamp_command_g,nav_gain,nearest_distance_m,offset_deg,range_km,range_m,resolved_guidance_runtime,resolved_runtime_contract_matches,resolved_runtime_contract_mismatches,rho_fuze,seed,signed_bearing_deg,stage4_launch_class
nav_gain_3p5,guidance_scalar_n3p5_main_4km_p15deg_s20260623,False,True,True,main,0,206,0.0,18.909911485753465,0.0,18.93576078256129,18.93576078256129,3.5,0.0023551951367324197,15.0,4.0,4000.0,"{""apn_target_accel_gain"": 0.5, ""capture_guidance_mode"": 0, ""guidance_max_lateral_g"": 35.0, ""nav_gain"": 3.5, ""pn_los_rate_source"": 1, ""target_kinematics_estimator"": 1, ""target_tracker_alpha"": 0.2, ""target_tracker_beta"": 0.02}",True,[],0.00015701300911549464,20260623,15.0,N
nav_gain_3p5,guidance_scalar_n3p5_main_4km_m20deg_s20260621,False,True,True,main,0,210,0.0,23.326590214109903,0.0,23.35910305145994,23.35910305145994,3.5,0.001716260773528624,20.0,4.0,4000.0,"{""apn_target_accel_gain"": 0.5, ""capture_guidance_mode"": 0, ""guidance_max_lateral_g"": 35.0, ""nav_gain"": 3.5, ""pn_los_rate_source"": 1, ""target_kinematics_estimator"": 1, ""target_tracker_alpha"": 0.2, ""target_tracker_beta"": 0.02}",True,[],0.00011441738490190826,20260621,-20.0,N
nav_gain_3p5,guidance_scalar_n3p5_main_4km_p20deg_s20260621,False,True,True,main,0,210,0.0,23.326590214109903,0.0,23.35910305145994,23.35910305145994,3.5,0.0016813163272582001,20.0,4.0,4000.0,"{""apn_target_accel_gain"": 0.5, ""capture_guidance_mode"": 0, ""guidance_max_lateral_g"": 35.0, ""nav_gain"": 3.5, ""pn_los_rate_source"": 1, ""target_kinematics_estimator"": 1, ""target_tracker_alpha"": 0.2, ""target_tracker_beta"": 0.02}",True,[],0.00011208775515054668,20260621,20.0,N
nav_gain_3p5,guidance_scalar_n3p5_main_4km_m20deg_s20260622,False,True,True,main,0,210,0.0,23.326590214109903,0.0,23.35910305145994,23.35910305145994,3.5,0.001716260773528624,20.0,4.0,4000.0,"{""apn_target_accel_gain"": 0.5, ""capture_guidance_mode"": 0, ""guidance_max_lateral_g"": 35.0, ""nav_gain"": 3.5, ""pn_los_rate_source"": 1, ""target_kinematics_estimator"": 1, ""target_tracker_alpha"": 0.2, ""target_tracker_beta"": 0.02}",True,[],0.00011441738490190826,20260622,-20.0,N
nav_gain_3p5,guidance_scalar_n3p5_main_4km_p20deg_s20260622,False,True,True,main,0,210,0.0,23.326590214109903,0.0,23.35910305145994,23.35910305145994,3.5,0.0016813163272582001,20.0,4.0,4000.0,"{""apn_target_accel_gain"": 0.5, ""capture_guidance_mode"": 0, ""guidance_max_lateral_g"": 35.0, ""nav_gain"": 3.5, ""pn_los_rate_source"": 1, ""target_kinematics_estimator"": 1, ""target_tracker_alpha"": 0.2, ""target_tracker_beta"": 0.02}",True,[],0.00011208775515054668,20260622,20.0,N
nav_gain_3p5,guidance_scalar_n3p5_main_4km_m20deg_s20260623,False,True,True,main,0,210,0.0,23.326590214109903,0.0,23.35910305145994,23.35910305145994,3.5,0.001716260773528624,20.0,4.0,4000.0,"{""apn_target_accel_gain"": 0.5, ""capture_guidance_mode"": 0, ""guidance_max_lateral_g"": 35.0, ""nav_gain"": 3.5, ""pn_los_rate_source"": 1, ""target_kinematics_estimator"": 1, ""target_tracker_alpha"": 0.2, ""target_tracker_beta"": 0.02}",True,[],0.00011441738490190826,20260623,-20.0,N
nav_gain_3p5,guidance_scalar_n3p5_main_4km_p20deg_s20260623,False,True,True,main,0,210,0.0,23.326590214109903,0.0,23.35910305145994,23.35910305145994,3.5,0.0016813163272582001,20.0,4.0,4000.0,"{""apn_target_accel_gain"": 0.5, ""capture_guidance_mode"": 0, ""guidance_max_lateral_g"": 35.0, ""nav_gain"": 3.5, ""pn_los_rate_source"": 1, ""target_kinematics_estimator"": 1, ""target_tracker_alpha"": 0.2, ""target_tracker_beta"": 0.02}",True,[],0.00011208775515054668,20260623,20.0,N
nav_gain_3p5,guidance_scalar_n3p5_main_4km_m25deg_s20260621,False,True,True,main,0,216,0.0,27.504570986406943,0.0,27.54345793521804,27.54345793521804,3.5,0.004324957498193212,25.0,4.0,4000.0,"{""apn_target_accel_gain"": 0.5, ""capture_guidance_mode"": 0, ""guidance_max_lateral_g"": 35.0, ""nav_gain"": 3.5, ""pn_los_rate_source"": 1, ""target_kinematics_estimator"": 1, ""target_tracker_alpha"": 0.2, ""target_tracker_beta"": 0.02}",True,[],0.0002883304998795475,20260621,-25.0,N
nav_gain_3p5,guidance_scalar_n3p5_main_4km_p25deg_s20260621,False,True,True,main,0,216,0.0,27.50457098640753,0.0,27.543457935214192,27.543457935214192,3.5,0.004375920923104131,25.0,4.0,4000.0,"{""apn_target_accel_gain"": 0.5, ""capture_guidance_mode"": 0, ""guidance_max_lateral_g"": 35.0, ""nav_gain"": 3.5, ""pn_los_rate_source"": 1, ""target_kinematics_estimator"": 1, ""target_tracker_alpha"": 0.2, ""target_tracker_beta"": 0.02}",True,[],0.00029172806154027537,20260621,25.0,N
nav_gain_3p5,guidance_scalar_n3p5_main_4km_m25deg_s20260622,False,True,True,main,0,216,0.0,27.504570986406943,0.0,27.54345793521804,27.54345793521804,3.5,0.004324957498193212,25.0,4.0,4000.0,"{""apn_target_accel_gain"": 0.5, ""capture_guidance_mode"": 0, ""guidance_max_lateral_g"": 35.0, ""nav_gain"": 3.5, ""pn_los_rate_source"": 1, ""target_kinematics_estimator"": 1, ""target_tracker_alpha"": 0.2, ""target_tracker_beta"": 0.02}",True,[],0.0002883304998795475,20260622,-25.0,N
