case_id,diagnostics_profile_attached,entered_R_fuze,fuze_triggered,grid_tier,guidance_runtime_missing_acceleration_diagnostics_count,guidance_runtime_observation_count,guidance_saturated_sample_count,guidance_saturation_fraction,max_achieved_lateral_g,max_capture_component_g,max_postclamp_command_g,max_preclamp_command_g,nearest_approach_closure_mps,nearest_approach_time_s,nearest_distance_m,offset_deg,range_km,range_m,refinement_reasons,resolved_guidance_runtime,resolved_runtime_contract_matches,resolved_runtime_contract_mismatches,rho_fuze,seed,signed_bearing_deg
guidance_envelope_main_12km_m20deg_s20260623,False,True,True,main,0,606,0,0.0,18.14358327956243,0.0,18.152611620446347,18.152611620446347,0.0,10.083211236424955,0.0013660536824897456,20.0,12.0,12000.0,[],"{""apn_target_accel_gain"": 0.5, ""capture_guidance_mode"": 0, ""guidance_max_lateral_g"": 35.0, ""nav_gain"": 4.0, ""pn_los_rate_source"": 1, ""target_kinematics_estimator"": 1, ""target_tracker_alpha"": 0.2, ""target_tracker_beta"": 0.02}",True,[],9.107024549931637e-05,20260623,-20.0
guidance_envelope_main_12km_p20deg_s20260623,False,True,True,main,0,606,0,0.0,18.14358327956271,0.0,18.152611620453182,18.152611620453182,0.0,10.083211254641096,0.00136360261065197,20.0,12.0,12000.0,[],"{""apn_target_accel_gain"": 0.5, ""capture_guidance_mode"": 0, ""guidance_max_lateral_g"": 35.0, ""nav_gain"": 4.0, ""pn_los_rate_source"": 1, ""target_kinematics_estimator"": 1, ""target_tracker_alpha"": 0.2, ""target_tracker_beta"": 0.02}",True,[],9.090684071013133e-05,20260623,20.0
guidance_envelope_main_12km_m25deg_s20260621,False,True,True,main,0,653,0,0.0,20.95203611412967,0.0,20.962332214971607,20.962332214971607,0.0,10.85877609986349,0.0013825796516379358,25.0,12.0,12000.0,[],"{""apn_target_accel_gain"": 0.5, ""capture_guidance_mode"": 0, ""guidance_max_lateral_g"": 35.0, ""nav_gain"": 4.0, ""pn_los_rate_source"": 1, ""target_kinematics_estimator"": 1, ""target_tracker_alpha"": 0.2, ""target_tracker_beta"": 0.02}",True,[],9.217197677586238e-05,20260621,-25.0
guidance_envelope_main_12km_p25deg_s20260621,False,True,True,main,0,653,0,0.0,20.95203611412967,0.0,20.962332214971607,20.962332214971607,0.0,10.85877612447155,0.001376737859692878,25.0,12.0,12000.0,[],"{""apn_target_accel_gain"": 0.5, ""capture_guidance_mode"": 0, ""guidance_max_lateral_g"": 35.0, ""nav_gain"": 4.0, ""pn_los_rate_source"": 1, ""target_kinematics_estimator"": 1, ""target_tracker_alpha"": 0.2, ""target_tracker_beta"": 0.02}",True,[],9.17825239795252e-05,20260621,25.0
guidance_envelope_main_12km_m25deg_s20260622,False,True,True,main,0,653,0,0.0,20.95203611412967,0.0,20.962332214971607,20.962332214971607,0.0,10.85877609986349,0.0013825796516379358,25.0,12.0,12000.0,[],"{""apn_target_accel_gain"": 0.5, ""capture_guidance_mode"": 0, ""guidance_max_lateral_g"": 35.0, ""nav_gain"": 4.0, ""pn_los_rate_source"": 1, ""target_kinematics_estimator"": 1, ""target_tracker_alpha"": 0.2, ""target_tracker_beta"": 0.02}",True,[],9.217197677586238e-05,20260622,-25.0
guidance_envelope_main_12km_p25deg_s20260622,False,True,True,main,0,653,0,0.0,20.95203611412967,0.0,20.962332214971607,20.962332214971607,0.0,10.85877612447155,0.001376737859692878,25.0,12.0,12000.0,[],"{""apn_target_accel_gain"": 0.5, ""capture_guidance_mode"": 0, ""guidance_max_lateral_g"": 35.0, ""nav_gain"": 4.0, ""pn_los_rate_source"": 1, ""target_kinematics_estimator"": 1, ""target_tracker_alpha"": 0.2, ""target_tracker_beta"": 0.02}",True,[],9.17825239795252e-05,20260622,25.0
guidance_envelope_main_12km_m25deg_s20260623,False,True,True,main,0,653,0,0.0,20.95203611412967,0.0,20.962332214971607,20.962332214971607,0.0,10.85877609986349,0.0013825796516379358,25.0,12.0,12000.0,[],"{""apn_target_accel_gain"": 0.5, ""capture_guidance_mode"": 0, ""guidance_max_lateral_g"": 35.0, ""nav_gain"": 4.0, ""pn_los_rate_source"": 1, ""target_kinematics_estimator"": 1, ""target_tracker_alpha"": 0.2, ""target_tracker_beta"": 0.02}",True,[],9.217197677586238e-05,20260623,-25.0
guidance_envelope_main_12km_p25deg_s20260623,False,True,True,main,0,653,0,0.0,20.95203611412967,0.0,20.962332214971607,20.962332214971607,0.0,10.85877612447155,0.001376737859692878,25.0,12.0,12000.0,[],"{""apn_target_accel_gain"": 0.5, ""capture_guidance_mode"": 0, ""guidance_max_lateral_g"": 35.0, ""nav_gain"": 4.0, ""pn_los_rate_source"": 1, ""target_kinematics_estimator"": 1, ""target_tracker_alpha"": 0.2, ""target_tracker_beta"": 0.02}",True,[],9.17825239795252e-05,20260623,25.0
guidance_envelope_main_12km_m30deg_s20260621,False,True,True,main,0,708,0,0.0,23.527093443923903,0.0,23.538285714002534,23.538285714002534,0.0,11.768739761691997,0.001375391175497799,30.0,12.0,12000.0,[],"{""apn_target_accel_gain"": 0.5, ""capture_guidance_mode"": 0, ""guidance_max_lateral_g"": 35.0, ""nav_gain"": 4.0, ""pn_los_rate_source"": 1, ""target_kinematics_estimator"": 1, ""target_tracker_alpha"": 0.2, ""target_tracker_beta"": 0.02}",True,[],9.16927450331866e-05,20260621,-30.0
guidance_envelope_main_12km_p30deg_s20260621,False,True,True,main,0,708,0,0.0,23.527093443923988,0.0,23.538285713994384,23.538285713994384,0.0,11.768739793805404,0.0013711176156638845,30.0,12.0,12000.0,[],"{""apn_target_accel_gain"": 0.5, ""capture_guidance_mode"": 0, ""guidance_max_lateral_g"": 35.0, ""nav_gain"": 4.0, ""pn_los_rate_source"": 1, ""target_kinematics_estimator"": 1, ""target_tracker_alpha"": 0.2, ""target_tracker_beta"": 0.02}",True,[],9.140784104425896e-05,20260621,30.0
